# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_11_2S
 # Operator: Dominic
 # Date: Wed Feb 27 08:48:27 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


 Pad	            Istrip	                Rpoly	                Idark	                Cac	                   Cint	    Idiel	                Rint	                Temperature	                    Humidity
 #	Current[A]	Resistance[Ohms]	Current[A]	Capacitance[F]	Capacitance[F]	Current[A]	Resistance[Ohms]	[Degree C]	[RH%]
1	8.68E-11	1675128.78	9.039E-11	3.64964E-12	3.25293E-12	9.039E-11	29927400000	20	20
2	1.14E-10	1678230.78	9.05373E-11	7.25053E-11	3.63418E-12	9.05373E-11	85423700000	20	20
3	1.10E-10	1691309.21	9.02301E-11	3.49467E-12	3.25271E-12	9.02301E-11	90682300000	20	20
4	1.07E-10	1686131.27	9.1898E-11	3.26854E-12	3.25224E-12	9.1898E-11	94511000000	20	20
5	1.09E-10	1686279.69	9.10802E-11	7.08921E-11	3.64975E-12	9.10802E-11	1.04596E+11	20	20
6	1.09E-10	1697500.92	9.31387E-11	3.93105E-11	3.25441E-12	9.31387E-11	1.13326E+11	20	20
7	1.09E-10	1680150.23	9.49266E-11	7.0506E-11	3.64827E-12	9.49266E-11	75344600000	20	20
8	1.09E-10	1694717.89	9.59411E-11	3.29019E-12	3.25685E-12	9.59411E-11	74180700000	20	20
9	1.09E-10	1686420.31	9.08883E-11	7.08382E-11	3.6513E-12	9.08883E-11	1.52476E+11	20	20
10	1.14E-10	1689809.23	9.43509E-11	7.08587E-11	3.30179E-12	9.43509E-11	1.4161E+11	20	20
11	1.09E-10	1690281.94	9.06091E-11	7.09136E-11	3.33732E-12	9.06091E-11	83574400000	20	20
12	1.10E-10	1683493.91	9.28476E-11	7.046E-11	3.63924E-12	9.28476E-11	1.28264E+11	20	20
13	1.12E-10	1692888.69	9.59645E-11	7.07381E-11	3.64828E-12	9.59645E-11	1.59341E+11	20	20
14	1.07E-10	1681427.24	9.63186E-11	3.89015E-12	3.25516E-12	9.63186E-11	2.27235E+11	20	20
15	1.14E-10	1677900.26	9.40485E-11	7.01466E-11	3.65049E-12	9.40485E-11	89598900000	20	20
16	1.11E-10	1688628.06	9.31265E-11	3.1687E-12	3.25566E-12	9.31265E-11	1.39058E+11	20	20
17	1.07E-10	1680811.27	9.55464E-11	7.05358E-11	3.64595E-12	9.55464E-11	1.13373E+11	20	20
18	1.07E-10	1683218.78	9.84605E-11	7.05534E-11	3.64952E-12	9.84605E-11	1.9356E+11	20	20
19	1.09E-10	1701726.57	9.5484E-11	7.0749E-11	3.65008E-12	9.5484E-11	82777700000	20	20
20	1.14E-10	1681554.61	9.52012E-11	7.06727E-11	3.64859E-12	9.52012E-11	1.107E+11	20	20
21	1.18E-10	1693385.92	9.28325E-11	6.65768E-11	3.6508E-12	9.28325E-11	87389100000	20	20
22	1.10E-10	1699513.21	9.79362E-11	6.94502E-11	3.2634E-12	9.79362E-11	74576700000	20	20
23	1.18E-10	1685615.89	9.70811E-11	7.02203E-11	3.65275E-12	9.70811E-11	1.43176E+11	20	20
24	1.13E-10	1684646.52	9.67664E-11	7.0747E-11	3.65124E-12	9.67664E-11	3.61882E+11	20	20
25	1.14E-10	1686281.34	9.50677E-11	7.0438E-11	3.65123E-12	9.50677E-11	1.02646E+11	20	20
26	1.11E-10	1680111.53	9.32249E-11	7.07641E-11	3.65233E-12	9.32249E-11	65075900000	20	20
27	1.12E-10	1686791.69	9.2298E-11	7.04551E-11	3.64408E-12	9.2298E-11	1.16319E+11	20	20
28	1.08E-10	1688601.43	1.02279E-10	3.04569E-12	3.25653E-12	1.02279E-10	2.14268E+11	20	20
29	1.11E-10	1686890.09	9.41545E-11	7.0663E-11	3.65158E-12	9.41545E-11	1.00076E+11	20	20
30	1.08E-10	1691562.92	9.94839E-11	7.03475E-11	3.55712E-12	9.94839E-11	1.08031E+11	20	20
31	1.12E-10	1686319.58	9.59199E-11	3.45762E-12	3.25285E-12	9.59199E-11	99366400000	20	20
32	1.10E-10	1695618.9	9.28991E-11	7.04817E-11	3.65046E-12	9.28991E-11	1.95384E+11	20	20
33	1.10E-10	1687278.68	9.77406E-11	7.05788E-11	3.65416E-12	9.77406E-11	1.01743E+11	20	20
34	1.08E-10	1689204.64	9.96745E-11	7.03968E-11	3.3231E-12	9.96745E-11	1.08508E+11	20	20
35	1.12E-10	1689266.55	9.78412E-11	7.08156E-11	3.65437E-12	9.78412E-11	80998400000	20	20
36	1.10E-10	1681911.83	9.63155E-11	7.07937E-11	3.6521E-12	9.63155E-11	95431400000	20	20
37	1.10E-10	1681997.77	9.53138E-11	7.04411E-11	3.6549E-12	9.53138E-11	93627500000	20	20
38	1.09E-10	1682886.07	9.43273E-11	7.08061E-11	3.65442E-12	9.43273E-11	97416200000	20	20
39	1.11E-10	1680764.59	9.5099E-11	7.05423E-11	3.65255E-12	9.5099E-11	82972200000	20	20
40	1.15E-10	1698711.3	9.73002E-11	4.31822E-11	3.25621E-12	9.73002E-11	71420400000	20	20
41	1.12E-10	1690307.58	9.68416E-11	7.06298E-11	3.64926E-12	9.68416E-11	1.13978E+11	20	20
42	1.12E-10	1686663.87	9.38339E-11	7.07087E-11	3.65752E-12	9.38339E-11	2.0919E+11	20	20
43	1.11E-10	1700028.34	9.7907E-11	7.03254E-11	3.65509E-12	9.7907E-11	95076100000	20	20
44	1.15E-10	1681337.54	9.70272E-11	7.08473E-11	3.65504E-12	9.70272E-11	1.17658E+11	20	20
45	1.09E-10	1695320.56	9.47204E-11	7.06275E-11	3.65315E-12	9.47204E-11	1.98108E+11	20	20
46	1.12E-10	1683317.74	9.48545E-11	3.77146E-12	3.25205E-12	9.48545E-11	82349000000	20	20
47	1.15E-10	1693500.83	9.34619E-11	7.05351E-11	3.65812E-12	9.34619E-11	1.22593E+11	20	20
48	1.13E-10	1690658.06	9.67183E-11	7.04032E-11	3.65317E-12	9.67183E-11	77174200000	20	20
49	1.13E-10	1679369.53	9.65858E-11	7.09309E-11	3.65229E-12	9.65858E-11	77226400000	20	20
50	1.09E-10	1685798.18	9.52029E-11	7.03181E-11	3.65448E-12	9.52029E-11	1.23547E+11	20	20
51	1.10E-10	1682629.63	9.46965E-11	7.05414E-11	3.65457E-12	9.46965E-11	88549100000	20	20
52	1.10E-10	1686051.54	9.58828E-11	7.01485E-11	3.27426E-12	9.58828E-11	88650600000	20	20
53	1.12E-10	1698355.51	9.49568E-11	7.01999E-11	3.65284E-12	9.49568E-11	74195100000	20	20
54	1.07E-10	1688354.65	9.79043E-11	7.07092E-11	3.6585E-12	9.79043E-11	1.78157E+11	20	20
55	1.13E-10	1682796.83	8.81741E-11	7.02254E-11	3.6558E-12	8.81741E-11	1.33895E+11	20	20
56	1.17E-10	1704941.72	9.26855E-11	6.99669E-11	3.65486E-12	9.26855E-11	60244200000	20	20
